gu_name,dong_name,intro
중구,다동,"다동은 서울 중구 도심 업무지구에 위치한 법정동으로, 을지로입구역과 청계천, 무교동 일대와 가깝다. 오피스 빌딩과 음식점, 금융·업무 시설이 밀집해 직장인 유동인구가 많고, 서울 중심부의 업무·상업 기능이 두드러지는 지역이다."
중구,정동,"정동은 서울 중구 서쪽 도심에 위치한 역사·문화 성격이 강한 법정동이다. 덕수궁, 정동길, 주한 외국공관, 학교와 문화시설이 자리해 근대 역사 경관이 잘 남아 있으며, 시청·광화문 업무지구와도 가까운 지역이다."
중구,초동,"초동은 서울 중구 충무로와 을지로 사이에 위치한 도심 법정동이다. 충무로역, 을지로3가역과 인접하고 인쇄·영상·상업 관련 업종이 분포하며, 명동과 을지로 상권을 연결하는 입지로 도심 업무와 생활 기능이 함께 나타난다."
중구,남창동,"남창동은 서울 중구 남대문시장 일대에 위치한 법정동이다. 회현역과 숭례문, 서울역 방면과 가까우며, 전통시장과 도소매 상권, 음식점이 밀집해 있다. 오래된 상업 기능과 도심 교통 접근성이 결합된 지역으로 볼 수 있다."
중구,남학동,"남학동은 서울 중구 충무로와 명동 생활권 사이에 있는 소규모 도심 법정동이다. 충무로역과 명동역 접근성이 좋고, 인근에 상업시설과 업무시설, 인쇄·문화 관련 업종이 분포해 도심 상권의 배후 성격을 지닌다."
중구,무교동,"무교동은 서울 중구 시청과 청계천 사이에 위치한 도심 업무 지역이다. 시청역과 을지로입구역, 광화문 업무지구와 가까우며, 오피스와 음식점, 금융기관이 밀집해 평일 직장인 유동인구가 많은 상업·업무 중심지다."
중구,무학동,"무학동은 서울 중구 신당동과 청구역 인근에 위치한 법정동이다. 동대문과 약수동 방면 접근성이 좋고, 주거지와 근린생활시설이 혼재한다. 주변의 전통시장과 생활상권을 배후로 한 도심 동부의 생활권 성격이 강하다."
중구,묵정동,"묵정동은 서울 중구 장충동과 충무로 사이에 자리한 법정동이다. 동국대학교, 장충단공원, 충무로역과 가까워 교육·문화시설과 도심 상업 기능을 함께 이용하기 좋으며, 남산 동쪽 생활권과 연결되는 입지다."
중구,방산동,"방산동은 서울 중구 청계천과 을지로 사이에 위치한 법정동이다. 방산시장과 인쇄·포장 관련 업종이 잘 알려져 있으며, 을지로4가역과 가까워 도심 산업 상권과 전통시장 기능이 함께 발달한 지역이다."
중구,북창동,"북창동은 서울 중구 시청과 남대문로 사이에 위치한 도심 상업 지역이다. 음식점과 숙박시설, 오피스가 밀집해 직장인과 방문객 유동이 많으며, 시청역·회현역·명동 상권과 가까운 입지적 장점이 있다."
